City,Population
National Capital Region,58150000
Mumbai,"	23598000"
Kolkata,15870000
Bangalore,11490000
Chennai,8696010
Hyderabad,7677018
Ahmedabad,6357693
Pune,7276000
Surat,4591246
Jaipur,3073350
Lucknow,2902920
Kanpur,2920067
